Repository,Result,Constraint,Line,Description
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class178 contains non-abstract method Method3174
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class179 contains non-abstract method Method3189
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class179 contains non-abstract method Method3190
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class179 contains non-abstract method Method3205
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class179 contains non-abstract method Method3206
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class179 contains non-abstract method Method3207
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class179 contains non-abstract method Method3208
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class179 contains non-abstract method Method3212
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class179 contains non-abstract method Method3215
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class179 contains non-abstract method Method3224
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class180 contains non-abstract method Method3249
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class180 contains non-abstract method Method3254
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class180 contains non-abstract method Method3255
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class180 contains non-abstract method Method3274
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class181 contains non-abstract method Method3280
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class181 contains non-abstract method Method3281
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class182 contains non-abstract method Method3288
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class182 contains non-abstract method Method3289
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class724 contains non-abstract method Method13892
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class281 has field Field311
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class281 has field Field312
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class282 has field Field313
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class282 has field Field314
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class282 has field Field315
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class286 has field Field320
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class286 has field Field321
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class286 has field Field322
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class286 has field Field323
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class286 has field Field324
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class286 has field Field325
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class286 has field Field326
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class286 has field Field327
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class295 has field Field338
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class295 has field Field339
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class295 has field Field340
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class295 has field Field341
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class295 has field Field342
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class295 has field Field343
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class295 has field Field344
eclipse-collections__eclipse-collections,UNSAT,InterfacePolicy,,Interface Class295 has field Field345
eclipse-collections__eclipse-collections,UNSAT,LocalMethodNamespace,,"Duplicate method name 'forEach' in class Class0: Method0, Method1"
elvishew__xLog,UNSAT,InterfacePolicy,,Interface Class51 has field Field74
elvishew__xLog,UNSAT,LocalMethodNamespace,,"Duplicate method name 'println' in class Class4: Method33, Method34, Method35, Method36, Method37"
emanuele-f__PCAPdroid,UNSAT,InterfacePolicy,,Interface Class99 contains non-abstract method Method1165
emanuele-f__PCAPdroid,UNSAT,InterfacePolicy,,Interface Class99 contains non-abstract method Method1166
emanuele-f__PCAPdroid,UNSAT,LocalMethodNamespace,,"Duplicate method name 'resolveInstalledApp' in class Class3: Method20, Method21"
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class1 contains non-abstract method Method5
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class1 contains non-abstract method Method6
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class1 contains non-abstract method Method7
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method8
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method9
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method10
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method11
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method12
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method13
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method14
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method15
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method16
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method17
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method18
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method19
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class3 contains non-abstract method Method23
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class5 contains non-abstract method Method26
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method45
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class9 contains non-abstract method Method46
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class16 contains non-abstract method Method71
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method72
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class18 contains non-abstract method Method73
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class18 contains non-abstract method Method74
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class18 contains non-abstract method Method75
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class19 contains non-abstract method Method76
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class23 contains non-abstract method Method81
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class23 contains non-abstract method Method82
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class27 contains non-abstract method Method123
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class27 contains non-abstract method Method124
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class27 contains non-abstract method Method125
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class31 contains non-abstract method Method139
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class32 contains non-abstract method Method140
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class33 contains non-abstract method Method141
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class40 contains non-abstract method Method170
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class42 contains non-abstract method Method175
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class42 contains non-abstract method Method176
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class42 contains non-abstract method Method177
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class42 contains non-abstract method Method178
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class42 contains non-abstract method Method179
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class42 contains non-abstract method Method180
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class42 contains non-abstract method Method181
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class42 contains non-abstract method Method182
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class45 contains non-abstract method Method190
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class57 contains non-abstract method Method209
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class57 contains non-abstract method Method210
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class57 contains non-abstract method Method211
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class63 contains non-abstract method Method222
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class63 contains non-abstract method Method223
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class82 contains non-abstract method Method240
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class85 contains non-abstract method Method249
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class85 contains non-abstract method Method250
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class86 contains non-abstract method Method252
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class86 contains non-abstract method Method253
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class87 contains non-abstract method Method255
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class88 contains non-abstract method Method257
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class88 contains non-abstract method Method258
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class99 contains non-abstract method Method288
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class99 contains non-abstract method Method289
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class99 contains non-abstract method Method290
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class99 contains non-abstract method Method291
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class100 contains non-abstract method Method292
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class100 contains non-abstract method Method293
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class100 contains non-abstract method Method294
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class100 contains non-abstract method Method295
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class100 contains non-abstract method Method296
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class101 contains non-abstract method Method297
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class101 contains non-abstract method Method298
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class101 contains non-abstract method Method299
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class102 contains non-abstract method Method300
FabricMC__fabric-api,UNSAT,InterfacePolicy,,Interface Class102 contains non-abstract method Method301
